slice,n,flag,estimate,ci_low,ci_high,n_boot
ALL,36,,0.7819444444444444,0.6111751181328388,0.8961752409994097,500
language=ar,24,,0.758288770053476,0.5606515151515151,0.9265451388888888,500
language=en,12,SMALL_SLICE,0.8285714285714286,0.49999999999999994,1.0,500
variant=English,12,SMALL_SLICE,0.8285714285714286,0.496540854978355,1.0,500
variant=Gulf,12,SMALL_SLICE,0.6583333333333333,0.29405906593406594,0.8951767676767677,500
variant=MSA,12,SMALL_SLICE,0.8374999999999999,0.5304166666666666,1.0,500
length_bucket=long,18,,0.525925925925926,0.3918026418026418,0.830800530738611,500
length_bucket=short,18,,0.8285714285714285,0.625,1.0,500
